iter	Passed	Remaining
562	796	618
563	797	616
564	798	614
565	799	613
566	800	611
567	801	609
568	802	607
569	803	606
570	804	604
571	805	602
572	806	600
573	807	599
574	808	597
575	809	595
576	810	594
577	811	592
578	812	590
579	813	588
580	814	587
581	815	585
582	816	583
583	817	582
584	818	580
585	819	578
586	820	576
587	821	575
588	822	573
589	822	571
590	823	570
591	824	568
592	825	566
593	826	565
594	827	563
595	828	561
596	829	560
597	830	558
598	831	556
599	832	555
600	833	553
601	834	551
602	835	550
603	836	548
604	837	546
605	838	545
606	839	543
607	840	541
608	841	540
609	842	538
610	843	536
611	843	535
612	844	533
613	845	531
614	846	530
615	847	528
616	848	526
617	849	525
618	850	523
619	851	522
620	852	520
621	853	518
622	854	517
623	855	515
624	856	514
625	857	512
626	858	510
627	859	509
628	860	507
629	861	505
630	862	504
631	863	502
632	864	501
633	865	499
634	866	497
635	867	496
636	868	494
637	869	493
638	869	491
639	870	489
640	871	488
641	872	486
642	873	485
643	874	483
644	875	481
645	876	480
646	877	478
647	878	477
648	879	475
649	880	474
650	881	472
651	882	470
652	883	469
653	884	467
654	885	466
655	886	464
656	887	463
657	887	461
658	888	459
659	889	458
660	890	456
661	891	455
662	892	453
663	893	452
664	894	450
665	895	449
666	896	447
667	897	446
668	898	444
669	899	443
670	900	441
671	901	440
672	902	438
673	903	436
674	904	435
675	905	433
676	906	432
677	907	430
678	908	429
679	909	428
680	912	427
681	915	427
682	918	426
683	921	425
684	925	425
685	929	425
686	931	424
687	934	423
688	937	423
689	940	422
690	943	421
691	945	421
692	948	420
693	951	419
694	954	418
695	956	417
696	959	417
697	962	416
698	965	415
699	968	414
700	970	414
701	973	413
702	976	412
703	979	411
704	982	410
705	983	409
706	986	408
707	989	407
708	992	407
709	994	406
710	997	405
711	1000	404
712	1003	403
713	1006	403
714	1009	402
715	1011	401
716	1014	400
717	1017	399
718	1020	398
719	1022	397
720	1024	396
721	1026	395
722	1028	394
723	1030	392
724	1031	391
725	1033	389
726	1034	388
727	1036	387
728	1037	385
729	1038	384
730	1040	382
731	1041	381
732	1042	379
733	1043	378
734	1044	376
735	1045	375
736	1047	373
737	1048	372
738	1049	370
739	1050	368
740	1051	367
741	1052	365
742	1053	364
743	1054	362
744	1055	361
745	1056	359
746	1057	358
747	1057	356
748	1058	354
749	1059	353
750	1060	351
751	1061	350
752	1062	348
753	1063	347
754	1064	345
755	1065	343
756	1066	342
757	1067	340
758	1068	339
759	1069	337
760	1070	336
761	1071	334
762	1072	333
763	1073	331
764	1074	330
765	1075	328
766	1076	327
767	1077	325
768	1078	323
769	1079	322
770	1080	320
771	1081	319
772	1082	317
773	1083	316
774	1084	314
775	1085	313
776	1086	311
777	1087	310
778	1088	308
779	1089	307
780	1090	305
781	1091	304
782	1092	302
783	1093	301
784	1093	299
785	1094	298
786	1095	296
787	1096	295
788	1097	293
789	1098	292
790	1099	290
791	1100	289
792	1101	287
793	1102	286
794	1103	284
795	1104	283
796	1105	281
797	1106	280
798	1107	278
799	1108	277
800	1109	275
801	1110	274
802	1111	272
803	1112	271
804	1113	269
805	1114	268
806	1115	266
807	1116	265
808	1117	263
809	1117	262
810	1118	260
811	1119	259
812	1120	257
813	1121	256
814	1122	254
815	1123	253
816	1124	251
817	1125	250
818	1126	248
819	1127	247
820	1128	246
821	1129	244
822	1130	243
823	1131	241
824	1132	240
825	1133	238
826	1134	237
827	1135	235
828	1136	234
829	1137	232
830	1137	231
831	1138	229
832	1139	228
833	1140	227
834	1141	225
835	1142	224
836	1143	222
837	1144	221
838	1145	219
839	1146	218
840	1147	216
841	1148	215
842	1149	214
843	1150	212
844	1151	211
845	1152	209
846	1153	208
847	1154	206
848	1155	205
849	1156	204
850	1157	202
851	1158	201
852	1159	199
853	1160	198
854	1161	196
855	1162	195
856	1163	194
857	1164	192
858	1165	191
859	1166	189
860	1167	188
861	1168	187
862	1169	185
863	1170	184
864	1171	182
865	1171	181
866	1172	179
867	1173	178
868	1174	177
869	1175	175
870	1176	174
871	1177	172
872	1178	171
873	1179	170
874	1180	168
875	1181	167
876	1182	165
877	1183	164
878	1184	163
879	1185	161
880	1186	160
881	1187	158
882	1188	157
883	1189	156
884	1190	154
885	1191	153
886	1191	151
887	1192	150
888	1193	149
889	1195	147
890	1195	146
891	1196	144
892	1197	143
893	1198	142
894	1199	140
895	1200	139
896	1201	138
897	1202	136
898	1203	135
899	1204	133
900	1205	132
901	1206	131
902	1207	129
903	1208	128
904	1209	126
905	1210	125
906	1211	124
907	1212	122
908	1213	121
909	1214	120
910	1215	118
911	1216	117
912	1217	115
913	1217	114
914	1218	113
915	1219	111
916	1220	110
917	1221	109
918	1222	107
919	1223	106
920	1224	105
921	1225	103
922	1226	102
923	1227	100
924	1228	99
925	1229	98
926	1230	96
927	1231	95
928	1232	94
929	1233	92
930	1234	91
931	1235	90
932	1236	88
933	1237	87
934	1237	86
935	1238	84
936	1239	83
937	1240	82
938	1241	80
939	1242	79
940	1243	77
941	1244	76
942	1245	75
943	1246	73
944	1247	72
945	1248	71
946	1249	69
947	1250	68
948	1251	67
949	1252	65
950	1253	64
951	1254	63
952	1255	61
953	1256	60
954	1257	59
955	1258	57
956	1259	56
957	1259	55
958	1260	53
959	1261	52
960	1262	51
961	1263	49
962	1264	48
963	1265	47
964	1266	45
965	1267	44
966	1268	43
967	1269	41
968	1270	40
969	1271	39
970	1272	38
971	1273	36
972	1274	35
973	1275	34
974	1276	32
975	1277	31
976	1278	30
977	1279	28
978	1280	27
979	1281	26
980	1282	24
981	1283	23
982	1284	22
983	1285	20
984	1285	19
985	1286	18
986	1287	16
987	1288	15
988	1289	14
989	1290	13
990	1291	11
991	1292	10
992	1293	9
993	1294	7
994	1295	6
995	1296	5
996	1297	3
997	1298	2
998	1299	1
999	1300	0
